平安银行	000001
万科A	    000002
PT金田A	    000003
国农科技	000004
世纪星源	000005
深振业A	    000006
零七股份	000007
宝利来	    000008
中国宝安	000009
ST华新	    000010
深物业A	    000011
南玻A	    000012
*ST石化A	000013
沙河股份	000014
PT中浩A	000015
深康佳A	000016
*ST中华A	000017
*ST中冠A	000018
深深宝A	000019
深华发A	000020
长城开发	000021
深赤湾A	000022
深天地A	000023
招商地产	000024
特力A	000025
飞亚达A	000026
深圳能源	000027
国药一致	000028
深深房A	000029
富奥股份	000030
中粮地产	000031
深桑达A	000032
新都酒店	000033
深信泰丰	000034
*ST科健	000035
华联控股	000036
深南电A	000037
深大通	000038
中集集团	000039
宝安地产	000040
深长城	000042
中航地产	000043
深纺织A	000045
泛海建设	000046
ST中侨	000047
康达尔	000048
德赛电池	000049
深天马A	000050
方大集团	000055
*ST国商	000056
深赛格	000058
辽通化工	000059
中金岭南	000060
农产品	000061
深圳华强	000062
中兴通讯	000063
北方国际	000065
长城电脑	000066
华控赛格	000068
华侨城A	000069
特发信息	000070
海王生物	000078
盐田港	000088
深圳机场	000089
深天健	000090
广聚能源	000096
中信海直	000099
TCL集团	000100
宜华地产	000150
中成股份	000151
丰原药业	000153
川化股份	000155
华数传媒	000156
中联重科	000157
常山股份	000158
国际实业	000159
东方市场	000301
美的集团	000333
潍柴动力	000338
许继电气	000400
冀东水泥	000401
金融街	000402
*ST生化	000403
华意压缩	000404
ST鑫光	000405
大明退市	000406
胜利股份	000407
金谷源	000408
泰复实业	000409
沈阳机床	000410
英特集团	000411
ST五环	000412
宝石A	000413
渤海租赁	000415
民生投资	000416
合肥百货	000417
小天鹅A	000418
通程控股	000419
吉林化纤	000420
南京中北	000421
湖北宜化	000422
东阿阿胶	000423
徐工机械	000425
兴业矿业	000426
华天酒店	000428
粤高速A	000429
张家界	000430
晨鸣纸业	000488
山东路桥	000498
鄂武商A	000501
绿景控股	000502
海虹控股	000503
ST传媒	000504
*ST珠江	000505
中润资源	000506
珠海港	000507
琼民源	000508
S*ST华塑	000509
金路集团	000510
银基发展	000511
丽珠集团	000513
渝开发	000514
攀渝钛业	000515
开元投资	000516
荣安地产	000517
四环生物	000518
江南红箭	000519
*ST凤凰	000520
美菱电器	000521
白云山A	000522
广州浪奇	000523
东方宾馆	000524
红太阳	000525
银润投资	000526
美的电器	000527
柳工	000528
广弘控股	000529
大冷股份	000530
穗恒运A	000531
力合股份	000532
万家乐	000533
万泽股份	000534
*ST猴王	000535
华映科技	000536
广宇发展	000537
云南白药	000538
粤电力A	000539
中天城投	000540
佛山照明	000541
TCL通讯	000542
皖能电力	000543
中原环保	000544
金浦钛业	000545
光华控股	000546
闽福发A	000547
湖南投资	000548
S湘火炬	000549
江铃汽车	000550
创元科技	000551
靖远煤电	000552
沙隆达A	000553
泰山石油	000554
*ST太光	000555
PT南洋	000556
*ST广夏	000557
莱茵置业	000558
万向钱潮	000559
昆百大A	000560
烽火电子	000561
宏源证券	000562
陕国投A	000563
西安民生	000564
渝三峡A	000565
海南海药	000566
海德股份	000567
泸州老窖	000568
长城股份	000569
苏常柴A	000570
新大洲A	000571
海马汽车	000572
粤宏远A	000573
广东甘化	000576
盐湖集团	000578
威孚高科	000581
北海港	000582
S*ST托普	000583
友利控股	000584
东北电气	000585
汇源通信	000586
金叶珠宝	000587
PT粤金曼	000588
黔轮胎A	000589
紫光古汉	000590
桐君阁	000591
中福实业	000592
大通燃气	000593
*ST国恒	000594
西北轴承	000595
古井贡酒	000596
东北制药	000597
兴蓉投资	000598
青岛双星	000599
建投能源	000600
韶能股份	000601
金马退市	000602
盛达矿业	000603
四环药业	000605
青海明胶	000606
华智控股	000607
阳光股份	000608
绵世股份	000609
西安旅游	000610
四海股份	000611
焦作万方	000612
大东海A	000613
湖北金环	000615
亿城股份	000616
*ST济柴	000617
吉化退市	000618
海螺型材	000619
新华联	000620
*ST比特	000621
岳阳恒立	000622
吉林敖东	000623
长安汽车	000625
如意集团	000626
天茂集团	000627
高新发展	000628
攀钢钒钛	000629
铜陵有色	000630
顺发恒业	000631
三木集团	000632
合金投资	000633
英力特	000635
风华高科	000636
茂化实华	000637
万方发展	000638
西王食品	000639
仁和药业	000650
格力电器	000651
泰达股份	000652
ST九州	000653
金岭矿业	000655
金科股份	000656
*ST中钨	000657
ST海洋	000658
珠海中富	000659
*ST南华	000660
长春高新	000661
索芙特	000662
永安林业	000663
湖北广电	000665
经纬纺机	000666
名流置业	000667
荣丰控股	000668
金鸿能源	000669
S舜元	000670
阳光城	000671
上峰水泥	000672
当代东方	000673
ST银山	000675
*ST思达	000676
恒天海龙	000677
襄阳轴承	000678
大连友谊	000679
山推股份	000680
远东股份	000681
东方电子	000682
远兴能源	000683
中山公用	000685
东北证券	000686
恒天天鹅	000687
建新矿业	000688
ST宏业	000689
宝新能源	000690
亚太实业	000691
惠天热电	000692
S*ST聚友	000693
滨海能源	000695
炼石有色	000697
沈阳化工	000698
S*ST佳纸	000699
模塑科技	000700
厦门信达	000701
正虹科技	000702
恒逸石化	000703
浙江震元	000705
双环科技	000707
大冶特钢	000708
河北钢铁	000709
天兴仪表	000710
天伦置业	000711
锦龙股份	000712
丰乐种业	000713
中兴商业	000715
南方食品	000716
*ST韶钢	000717
苏宁环球	000718
大地传媒	000719
新能泰山	000720
西安饮食	000721
湖南发展	000722
美锦能源	000723
京东方A	000725
鲁泰A	000726
华东科技	000727
国元证券	000728
燕京啤酒	000729
*ST环保	000730
四川美丰	000731
泰禾集团	000732
振华科技	000733
罗牛山	000735
中房地产	000736
南风化工	000737
中航动控	000738
普洛药业	000739
长城信息	000748
国海证券	000750
*ST锌业	000751
西藏发展	000752
漳州发展	000753
山西三维	000755
新华制药	000756
浩物股份	000757
中色股份	000758
中百集团	000759
博盈投资	000760
本钢板材	000761
西藏矿业	000762
锦化退市	000763
*ST华信	000765
通化金马	000766
漳泽电力	000767
中航飞机	000768
*ST大菲	000769
广发证券	000776
中核科技	000777
新兴铸管	000778
三毛派神	000779
平庄能源	000780
美达股份	000782
长江证券	000783
武汉中商	000785
北新建材	000786
*ST创智	000787
北大医药	000788
江西水泥	000789
华神集团	000790
甘肃电投	000791
盐湖股份	000792
华闻传媒	000793
太原刚玉	000795
易食股份	000796
